3.2179 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
80.3323 	EXP 	grating: autoDraw = False
80.7527 	EXP 	New trial (rep=29, index=0): None
80.7545 	DATA 	Keypress: up
80.7657 	EXP 	Fixation: autoDraw = False
80.7657 	EXP 	grating: autoDraw = False
80.7657 	EXP 	grating: ori = 0.0
80.7657 	EXP 	Fixation: autoDraw = True
81.7656 	EXP 	Fixation: autoDraw = False
81.7656 	EXP 	grating: autoDraw = True
82.0656 	EXP 	grating: autoDraw = False
82.7695 	EXP 	New trial (rep=30, index=0): None
82.7715 	DATA 	Keypress: up
82.7823 	EXP 	Fixation: autoDraw = False
82.7823 	EXP 	grating: autoDraw = False
82.7823 	EXP 	grating: ori = 3.0
82.7823 	EXP 	Fixation: autoDraw = True
83.7822 	EXP 	Fixation: autoDraw = False
83.7822 	EXP 	grating: autoDraw = True
84.0822 	EXP 	grating: autoDraw = False
84.8026 	EXP 	New trial (rep=31, index=0): None
84.8046 	DATA 	Keypress: down
84.8154 	EXP 	Fixation: autoDraw = False
84.8154 	EXP 	grating: autoDraw = False
84.8154 	EXP 	grating: ori = 0.0
84.8154 	EXP 	Fixation: autoDraw = True
85.8156 	EXP 	Fixation: autoDraw = False
85.8156 	EXP 	grating: autoDraw = True
86.1155 	EXP 	grating: autoDraw = False
86.7692 	EXP 	New trial (rep=32, index=0): None
86.7716 	DATA 	Keypress: down
86.7822 	EXP 	Fixation: autoDraw = False
86.7822 	EXP 	grating: autoDraw = False
86.7822 	EXP 	grating: ori = 0.0
86.7822 	EXP 	Fixation: autoDraw = True
87.7822 	EXP 	Fixation: autoDraw = False
87.7822 	EXP 	grating: autoDraw = True
88.0820 	EXP 	grating: autoDraw = False
88.6857 	EXP 	New trial (rep=33, index=0): None
88.6880 	DATA 	Keypress: up
88.6986 	EXP 	Fixation: autoDraw = False
88.6986 	EXP 	grating: autoDraw = False
88.6986 	EXP 	grating: ori = 2.0
88.6986 	EXP 	Fixation: autoDraw = True
89.6986 	EXP 	Fixation: autoDraw = False
89.6986 	EXP 	grating: autoDraw = True
89.9986 	EXP 	grating: autoDraw = False
90.4529 	EXP 	New trial (rep=34, index=0): None
90.4554 	DATA 	Keypress: up
90.4654 	EXP 	Fixation: autoDraw = False
90.4654 	EXP 	grating: autoDraw = False
90.4654 	EXP 	grating: ori = 0.0
90.4654 	EXP 	Fixation: autoDraw = True
91.4653 	EXP 	Fixation: autoDraw = False
91.4653 	EXP 	grating: autoDraw = True
91.7652 	EXP 	grating: autoDraw = False
92.2690 	EXP 	New trial (rep=35, index=0): None
92.2709 	DATA 	Keypress: up
92.2819 	EXP 	Fixation: autoDraw = False
92.2819 	EXP 	grating: autoDraw = False
92.2819 	EXP 	grating: ori = 4.0
92.2819 	EXP 	Fixation: autoDraw = True
93.2821 	EXP 	Fixation: autoDraw = False
93.2821 	EXP 	grating: autoDraw = True
93.5818 	EXP 	grating: autoDraw = False
94.1857 	EXP 	New trial (rep=36, index=0): None
94.1881 	DATA 	Keypress: down
94.1985 	EXP 	Fixation: autoDraw = False
94.1985 	EXP 	grating: autoDraw = False
94.1985 	EXP 	grating: ori = -3.0
94.1985 	EXP 	Fixation: autoDraw = True
95.1985 	EXP 	Fixation: autoDraw = False
95.1985 	EXP 	grating: autoDraw = True
95.4985 	EXP 	grating: autoDraw = False
96.0357 	EXP 	New trial (rep=37, index=0): None
96.0380 	DATA 	Keypress: down
96.0485 	EXP 	Fixation: autoDraw = False
96.0485 	EXP 	grating: autoDraw = False
96.0485 	EXP 	grating: ori = 0.0
96.0485 	EXP 	Fixation: autoDraw = True
97.0484 	EXP 	Fixation: autoDraw = False
97.0484 	EXP 	grating: autoDraw = True
97.3484 	EXP 	grating: autoDraw = False
